entname,enttypename,entid,enttypeid,byif_out_util_max,byif_in_util_pct10,byif_name,byif_out_util_pct10,byif_latency_c_avg,description,byif_com_speed_c,byif_out_bit_rate,byif_latency_c_max,byif_out_util_count,byif_out_util_avg,byif_bandwidth,byif_in_bit_rate,byif_errors_c,byif_in_util_count,byif_in_error_c,byif_in_util_avg,byif_in_util_max,byif_desc,location_site,byif_out_error_c
AG029,Network - Device,65311,sys:net:dev,0.686,0.092,CPE1,0.101,30.02,Branch,DNI-3,166425.817,31,48,0.166,100000000,173809.203,0,48,0,0.173,0.933,Ethernet0/2/0_100,ARAGONA,0
AG029,Network - Device,65311,sys:net:dev,0,0,LTE,0,34.015,Branch,DNI-3,0,35,48,0,100000000,0,0,48,0,0,0,LTE,ARAGONA,0
AL063,Network - Device,50976,sys:net:dev,0.627,0.098,CPE2,0.087,12.052,Branch,DNI-3,152870.343,13,24,0.152,100000000,246928.552,0,24,0,0.246,1.456,Ethernet0/2/0_100,ALESSANDRIA CORSO ACQUI,0
AL063,Network - Device,50976,sys:net:dev,0.525,0.077,CPE1,0.09,11.739,Branch,DNI-3,152168.833,13,24,0.152,100000000,170047.312,0,24,0,0.17,0.958,Ethernet0/2/0_100,ALESSANDRIA CORSO ACQUI,0
AL063,Network - Device,50976,sys:net:dev,0,0,LTE,0,12,Branch,DNI-3,0,13,24,0,100000000,0,0,24,0,0,0,LTE,ALESSANDRIA CORSO ACQUI,0
AN025,Network - Device,54178,sys:net:dev,0.55,0.065,CPE2,0.051,33.671,Branch,DNI-3,138299.64,50,48,0.138,100000000,268443.625,0,48,0,0.268,1.943,Ethernet0/2/0_90,FABRIANO ZONGHI,0
AN025,Network - Device,54178,sys:net:dev,1.053,0.086,CPE1,0.081,25.041,Branch,DNI-3,216026.838,27,48,0.216,100000000,273021.833,0,48,0,0.272,1.327,Ethernet0/2/0_90,FABRIANO ZONGHI,0
AN025,Network - Device,54178,sys:net:dev,0,0,LTE,0,24.515,Branch,DNI-3,0,26,48,0,100000000,0,0,48,0,0,0,LTE,FABRIANO ZONGHI,0
AL064,Network - Device,43171,sys:net:dev,2.984,0.069,CPE2,0.065,13.02,Branch,DNI-3,232178.25,14,24,0.232,100000000,291229.552,0,24,0,0.291,3.59,Ethernet0/2/0_100,TORTONA,0
AL064,Network - Device,43171,sys:net:dev,2.058,0.078,CPE1,0.075,13,Branch,DNI-3,203951.291,13,24,0.204,100000000,247859.645,0,24,0,0.247,2.065,Ethernet0/2/0_100,TORTONA,0
AL064,Network - Device,43171,sys:net:dev,0,0,LTE,0,13.01,Branch,DNI-3,0,14,24,0,100000000,0,0,24,0,0,0,LTE,TORTONA,0
AN007,Network - Device,48164,sys:net:dev,1.915,0.467,CPE2,0.182,32.097,Branch,DNI-3,386293.236,36,72,0.386,100000000,782996.975,0,72,0,0.783,5.36,Ethernet0/2/0_100,ANCONA TORRETTE,0
AN007,Network - Device,48164,sys:net:dev,3.553,0.166,CPE1,0.37,35.645,Branch,DNI-3,701070.531,37,72,0.701,100000000,447629.211,0,72,0,0.447,3.36,Ethernet0/2/0_100,ANCONA TORRETTE,0
AN007,Network - Device,48164,sys:net:dev,0,0,LTE,0,38.881,Branch,DNI-3,0,40,72,0,100000000,0,0,72,0,0,0,LTE,ANCONA TORRETTE,0
AG017,Network - Device,50086,sys:net:dev,29.791,0.814,CPE1,1.145,49.697,ATM,A2,40937.684,454,72,1.998,2048000,115047.368,0.052,72,0.052,5.617,87.662,Serial0/0/0_100,BURGIO,0
AG017,Network - Device,50086,sys:net:dev,0.815,0,LTE,0,52.149,ATM,A2,516.5,438,72,0.025,2048000,346.295,0,72,0,0.016,0.405,LTE,BURGIO,0
AG010,Network - Device,57127,sys:net:dev,0.929,0.095,CPE2,0.086,37,Branch,DNI-3,169816.593,37,24,0.169,100000000,293598.947,0,24,0,0.293,2.4,Ethernet0/2/0_90,RACALMUTO,0
AG010,Network - Device,57127,sys:net:dev,0.5,0.084,CPE1,0.085,31,Branch,DNI-3,162179.937,31,24,0.162,100000000,186022.781,0,24,0,0.185,0.84,Ethernet0/2/0_90,RACALMUTO,0
AG010,Network - Device,57127,sys:net:dev,0,0,LTE,0,34.979,Branch,DNI-3,0,35,24,0,100000000,0,0,24,0,0,0,LTE,RACALMUTO,0
AL017,Network - Device,29224,sys:net:dev,4.893,0.091,CPE2,0.05,11.687,Branch,DNI-3,136735.18,13,72,0.136,100000000,256058.711,0,72,0,0.256,4.933,Ethernet0/2/0_90,SERRAVALLE SCRIVIA,0
AL017,Network - Device,29224,sys:net:dev,0.793,0.091,CPE1,0.083,10.131,Branch,DNI-3,145433.85,14,72,0.145,100000000,184974.625,0,72,0,0.184,1.396,Ethernet0/2/0_90,SERRAVALLE SCRIVIA,0
BO009,Network - Device,28289,sys:net:dev,1.12,0.098,CPE2,0.068,8.246,Branch,DNI-3,216576.59,9,72,0.216,100000000,399003.493,0,72,0,0.398,3.106,Ethernet0/2/0_100,,0
AL017,Network - Device,29224,sys:net:dev,0,0,LTE,0,10.031,Branch,DNI-3,0,11,72,0,100000000,0,0,72,0,0,0,LTE,SERRAVALLE SCRIVIA,0
AO008,Network - Device,39470,sys:net:dev,19.084,1.184,CPE2,1.059,17.586,Branch,DNI-1,83036.916,66,72,2.027,4096000,134456.076,0,72,0,3.282,27.471,ATM0/IMA1_100-aal5_layer,AYAS CHAMPOLUC,0
AO008,Network - Device,39470,sys:net:dev,12.509,1.604,CPE1,1.306,23.892,Branch,DNI-1,83635.871,130,72,2.041,4096000,113198.024,0,72,0,2.763,20.052,ATM0/IMA1_100-aal5_layer,AYAS CHAMPOLUC,0
AO008,Network - Device,39470,sys:net:dev,0.101,0,LTE,0,34.277,Branch,DNI-1,1298.451,96,72,0.031,4096000,1545.298,0,72,0,0.037,0.117,LTE,AYAS CHAMPOLUC,0
AL010,Network - Device,48694,sys:net:dev,9.175,0.662,CPE2,0.411,3.383,Branch,DNI-6,438319.116,6,30,1.461,30000000,712806.341,0,30,0,2.376,19.066,GigabitEthernet0/0/0,CASALE MONFERRATO,0
